"Zeta","alpha","Particle_type"
-41,0.16,"COOH"
-4.4,0.31,"PEG"
-58.8,0.36,"COOH"
-2.1,0.81,"PEG"
-61,0.43,"COOH"
-5.6,0.89,"PEG"
-29.1,0.28363317289459,"CHITOSAN"
-30.6,0.342745691919627,"CHITOSAN"
-25,0.458378661361713,"CHITOSAN"
-18.9,0.449349373468485,"CHITOSAN"
-15.4,0.476621312828335,"CHITOSAN"
-15.2,0.457053676693749,"CHITOSAN"
-0.5,0.311601552179408,"CHITOSAN"
-8.3,0.697392031607401,"CHITOSAN"
-59,0.31,"COOH"
-59,0.5,"COOH"
-1,0.7,"PEG"
-1,0.91,"PEG"
-61,0.31,"COOH"
-61,0.41,"COOH"
-4,0.46,"PEG"
-4,0.73,"PEG"
-2.1,0.78871479900914,"COOH"
-2.1,0.738461091955516,"COOH"
-2.1,0.738461091955516,"COOH"
-21.6,0.479566179015747,"COOH"
-37.2,0.669472333842426,"COOH"
-6.7,0.685779482416615,"PEG"
-29.1,0.687583998387722,"PEG"
-50,0.68,"COOH"
-54,0.54,"COOH"
-73,0.54,"COOH"
-1,0.88,"PEG"
-5,0.82,"PEG"
-3,0.59,"PEG"
-18.9052,0.91,"Virus"
