"alpha","Diffusion_constant","Particle_type"
1,104.85,"Antibody"
1,108.17,"Antibody"
1,131.28,"Antibody"
1,106.56,"Antibody"
1,76.66,"Antibody"
1,61.62,"Antibody"
1,80.07,"Antibody"
1,69.98,"Antibody"
1,38.7,"Antibody"
1,48.93,"Antibody"
1,25.8,"Antibody"
1,48.93,"Antibody"
1,18.24,"Antibody"
1,35.88,"Antibody"
1,29.77,"Antibody"
1,15.56,"Antibody"
1,10.09,"Antibody"
1,6.52,"Antibody"
1,14.16,"Virus"
1,9.77,"Virus"
1,11.56,"Virus"
0.649055232562634,0.0242,"Virus"
0.28363317289459,0.000163,"CHITOSAN"
0.342745691919627,0.000366,"CHITOSAN"
0.458378661361713,0.001781,"CHITOSAN"
0.449349373468485,0.001574,"CHITOSAN"
0.476621312828335,0.002286,"CHITOSAN"
0.457053676693749,0.001749,"CHITOSAN"
0.311601552179408,0.000239,"CHITOSAN"
0.493679041912589,0.002887,"CHITOSAN"
0.500789063987939,0.003182,"CHITOSAN"
0.404236406380139,0.000849,"CHITOSAN"
0.250794361948478,0.000104,"CHITOSAN"
0.235186541042845,8.4e-05,"CHITOSAN"
0.162339048016001,3.1e-05,"CHITOSAN"
0.164659216971832,3.2e-05,"CHITOSAN"
0.697392031607401,0.046889,"CHITOSAN"
0.485462858782185,0.00258,"COOH"
0.301096802557363,0.000207,"COOH"
0.265395304220615,0.000127,"COOH"
0.658609476359719,0.02758,"COOH"
0.597182587845053,0.0119,"COOH"
0.542747156865107,0.00565,"COOH"
0.791947758686958,0.171,"PEG"
0.796503743777565,0.182,"PEG"
0.749834107611693,0.0961,"PEG"
0.709317081613688,0.0552,"PEG"
0.78871479900914,0.1636,"COOH"
0.738461091955516,0.08225,"COOH"
0.738461091955516,0.08225,"COOH"
0.479566179015747,0.00238,"COOH"
0.647837217972612,0.0238,"PEG"
0.555638644936519,0.00674,"PEG"
0.522469954840562,0.004281,"PEG"
0.573397205228072,0.008594,"PEG"
0.57573198813416,0.008873,"PEG"
0.501429311244281,0.00321,"AMINE"
0.604203584921311,0.0131,"AMINE"
0.673037879211692,0.0336,"AMINE"
0.697393590147878,0.04689,"AMINE"
0.442847004281299,0.00144,"AMINE"
0.626526498518648,0.01778,"AMINE"
0.628752843555139,0.01833,"AMINE"
0.669472333842426,0.032,"COOH"
0.685779482416615,0.04,"PEG"
0.687583998387722,0.041,"PEG"
0.659713968673359,0.028,"AMINE"
