"Zeta","Diffusion_constant","Particle_type"
-41,0.00013,"COOH"
-4.4,0.00246,"PEG"
-58.8,0.00127,"COOH"
-2.1,0.45,"PEG"
-61,0.00028,"COOH"
-5.6,0.31021,"PEG"
-29.1,0.000163,"CHITOSAN"
-30.6,0.000366,"CHITOSAN"
-25,0.001781,"CHITOSAN"
-18.9,0.001574,"CHITOSAN"
-15.4,0.002286,"CHITOSAN"
-15.2,0.001749,"CHITOSAN"
-0.5,0.000239,"CHITOSAN"
1.1,0.002887,"CHITOSAN"
6,0.003182,"CHITOSAN"
14.3,0.000849,"CHITOSAN"
19.2,0.000104,"CHITOSAN"
19.5,8.4e-05,"CHITOSAN"
19.2,3.1e-05,"CHITOSAN"
19.5,3.2e-05,"CHITOSAN"
-8.3,0.046889,"CHITOSAN"
-59,0.001163,"COOH"
-59,0.005707,"COOH"
-1,0.03623,"PEG"
-1,0.38518,"PEG"
-61,0.000796,"COOH"
-61,0.001274,"COOH"
-4,0.003641,"PEG"
-4,0.012744,"PEG"
-2.1,0.1636,"COOH"
-2.1,0.08225,"COOH"
-2.1,0.08225,"COOH"
-21.6,0.00238,"COOH"
2.6,0.0238,"PEG"
2.6,0.00674,"PEG"
2.6,0.004281,"PEG"
2.6,0.008594,"PEG"
13.3,0.008873,"PEG"
33.3,0.00321,"AMINE"
33.3,0.0131,"AMINE"
33.3,0.0336,"AMINE"
33.3,0.04689,"AMINE"
33.3,0.00144,"AMINE"
33.3,0.01778,"AMINE"
33.3,0.01833,"AMINE"
-37.2,0.032,"COOH"
-6.7,0.04,"PEG"
-29.1,0.041,"PEG"
26.7,0.028,"AMINE"
-50,0.013648,"COOH"
-54,0.001630625,"COOH"
-73,0.000985,"COOH"
-1,0.190729,"PEG"
-5,0.05464624,"PEG"
-3,0.00151,"PEG"
-18.9052,0.25,"Virus"
0.654046,0.00075,"Virus"
